ANNEE,MOIS,JOUR,DATE,T2M,T2M_MAX,T2M_MIN,T_SURFACE,LUM_SOL_ATTEINT_SURFACE,INDICE_CIEL_CLAIRE,INFRAROUGE_NUAGE,LUM_PHOTOSYNTHESE_NUAGE,LUM_PHOTOSYNTHESE_CLAIRE,INDICE_RAYONS_UVA,INDICE_RAYONS_UVB,VITESSE_VENT_10M,PRESSION,PRECIPITATION,HUMIDITE_2M
2001,1,1,2001-01-01,6.73,13.8,1.51,6.62,3.38,0.73,263.8,58.92,60.29,6.79,0.07,5.06,97.11,0.01,61.31
2001,1,2,2001-01-02,10.31,20.63,3.62,9.44,3.25,0.7,283.45,56.67,59.95,6.66,0.09,5.04,96.96,0.0,44.62
2001,1,3,2001-01-03,9.18,16.7,4.0,8.63,3.38,0.73,273.17,59.55,60.45,6.88,0.1,2.96,97.35,0.0,55.38
2001,1,4,2001-01-04,10.94,19.74,4.45,9.39,2.69,0.58,291.03,47.52,57.05,5.77,0.08,3.05,97.37,0.0,55.69
2001,1,5,2001-01-05,11.99,20.81,6.33,11.26,3.33,0.71,293.48,58.58,59.79,6.78,0.08,4.55,97.33,0.0,56.94
2001,1,6,2001-01-06,13.51,22.69,8.92,13.08,3.12,0.66,298.12,55.55,57.2,6.48,0.08,6.12,96.91,0.0,47.56
2001,1,7,2001-01-07,12.37,21.0,7.05,11.76,3.11,0.66,293.47,54.44,58.4,6.42,0.09,4.09,96.66,0.02,39.44
2001,1,8,2001-01-08,8.73,14.61,4.15,8.58,2.58,0.54,284.62,44.78,59.27,5.36,0.06,4.82,96.92,0.07,70.94
2001,1,9,2001-01-09,7.0,14.49,2.91,6.79,3.26,0.68,267.8,56.52,62.71,6.71,0.09,3.84,97.59,0.0,55.44
2001,1,10,2001-01-10,6.36,15.6,0.37,5.46,3.57,0.74,257.14,61.23,62.65,7.09,0.09,3.71,97.54,0.0,46.0
2001,1,11,2001-01-11,9.52,18.26,4.48,7.75,3.44,0.71,278.63,60.12,61.62,7.02,0.1,3.26,97.23,0.0,42.5
2001,1,12,2001-01-12,10.65,19.61,5.98,10.23,3.31,0.68,292.79,57.19,62.1,6.86,0.12,4.66,96.47,0.0,34.12
2001,1,13,2001-01-13,9.01,14.57,6.18,9.01,2.72,0.55,313.22,47.91,57.55,5.78,0.07,3.84,95.86,3.75,55.25
2001,1,14,2001-01-14,9.41,13.98,6.15,9.19,1.86,0.38,329.62,33.03,56.41,4.23,0.05,5.41,96.02,3.55,81.06
2001,1,15,2001-01-15,8.51,13.64,4.94,8.48,2.4,0.48,318.03,42.79,59.13,5.36,0.07,3.66,96.84,1.26,80.94
2001,1,16,2001-01-16,8.83,14.0,5.57,8.12,2.96,0.59,297.05,52.59,62.57,6.37,0.07,2.87,97.22,0.84,75.62
2001,1,17,2001-01-17,9.79,15.87,5.65,9.38,3.18,0.63,295.13,56.31,63.34,6.79,0.09,3.72,97.33,0.12,54.62
2001,1,18,2001-01-18,8.26,15.37,3.55,7.87,3.68,0.73,274.09,64.48,65.48,7.54,0.1,3.31,97.45,0.01,60.31
2001,1,19,2001-01-19,9.05,15.82,4.76,8.8,2.41,0.47,304.63,42.38,61.46,5.35,0.09,5.93,96.88,0.67,60.38
2001,1,20,2001-01-20,9.04,13.62,5.45,8.9,1.54,0.3,323.88,26.71,62.57,3.48,0.05,7.48,96.72,3.46,76.19
2001,1,21,2001-01-21,8.82,13.64,4.02,8.68,3.22,0.62,295.79,56.94,65.61,6.79,0.08,7.8,97.51,0.52,73.75
2001,1,22,2001-01-22,8.3,16.46,2.15,8.12,3.74,0.72,273.03,65.83,67.56,7.75,0.09,4.88,97.71,0.04,66.44
2001,1,23,2001-01-23,11.01,22.06,4.49,10.49,3.55,0.67,291.46,61.17,67.02,7.3,0.1,5.62,97.45,0.0,42.25
2001,1,24,2001-01-24,12.6,22.95,6.41,11.89,3.78,0.71,288.26,67.47,68.46,7.97,0.11,5.2,97.39,0.0,39.62
2001,1,25,2001-01-25,12.48,21.42,7.77,11.8,3.83,0.72,283.73,67.09,67.72,7.89,0.12,5.6,97.21,0.0,36.88
2001,1,26,2001-01-26,10.29,16.77,5.79,10.05,2.21,0.41,315.86,38.73,64.82,4.88,0.08,2.56,97.11,0.92,78.25
2001,1,27,2001-01-27,10.1,18.15,4.26,9.9,3.23,0.59,297.42,58.15,68.74,7.09,0.11,4.15,96.82,0.04,69.81
2001,1,28,2001-01-28,11.59,17.23,7.17,11.52,2.81,0.52,315.27,50.59,67.45,6.21,0.09,6.87,96.09,0.35,70.88
2001,1,29,2001-01-29,9.62,13.34,5.84,9.58,3.33,0.6,290.79,58.62,71.77,7.15,0.1,6.3,95.6,1.17,66.12
2001,1,30,2001-01-30,8.37,13.56,5.07,8.41,2.15,0.38,295.91,37.18,67.34,4.77,0.06,6.59,96.31,0.25,62.94
2001,1,31,2001-01-31,6.63,12.87,1.4,6.63,3.36,0.59,281.08,58.92,72.49,7.16,0.09,5.36,96.67,0.6,66.81
2001,2,1,2001-02-01,7.9,13.37,4.1,7.9,3.16,0.55,299.43,55.55,72.27,6.82,0.09,6.56,96.47,2.21,70.62
2001,2,2,2001-02-02,5.78,10.98,1.14,5.86,2.29,0.4,289.74,39.23,71.82,4.95,0.07,7.7,97.17,0.88,62.94
2001,2,3,2001-02-03,5.96,15.27,-1.14,5.85,4.28,0.74,253.99,73.98,75.12,8.73,0.13,4.1,97.68,0.0,60.69
2001,2,4,2001-02-04,9.55,19.56,2.57,9.25,4.29,0.73,265.88,74.93,76.23,8.92,0.15,5.12,97.47,0.0,43.25
2001,2,5,2001-02-05,11.53,20.1,5.17,10.84,4.2,0.71,277.23,73.33,74.56,8.71,0.15,3.17,97.44,0.0,41.19
2001,2,6,2001-02-06,11.47,20.62,4.79,9.67,4.34,0.73,269.55,75.84,76.61,9.05,0.15,3.55,97.62,0.0,39.81
2001,2,7,2001-02-07,10.4,19.48,4.96,9.8,4.46,0.74,256.62,76.19,77.12,9.15,0.16,5.54,97.38,0.0,35.69
2001,2,8,2001-02-08,9.76,19.36,3.42,9.37,4.46,0.73,259.39,76.05,76.64,9.1,0.15,4.11,96.99,0.0,39.38
2001,2,9,2001-02-09,9.0,15.37,4.19,8.97,3.81,0.62,284.8,67.01,76.89,8.2,0.13,6.78,97.14,0.49,61.31
2001,2,10,2001-02-10,8.58,14.26,3.75,8.44,3.72,0.6,284.07,65.13,80.25,7.94,0.1,7.71,97.65,0.97,65.75
2001,2,11,2001-02-11,9.62,14.15,6.66,9.58,3.03,0.48,303.91,52.97,74.82,6.47,0.09,9.6,97.97,1.98,75.69
2001,2,12,2001-02-12,9.59,16.15,5.11,9.73,3.67,0.59,283.14,64.6,76.75,7.76,0.12,6.93,98.11,0.42,72.44
2001,2,13,2001-02-13,10.09,18.45,3.37,8.92,4.67,0.73,266.73,81.18,82.85,9.78,0.13,3.83,97.62,0.05,53.56
2001,2,14,2001-02-14,10.41,18.73,4.37,8.4,4.58,0.71,275.72,79.3,81.48,9.55,0.16,3.78,97.08,0.0,36.56
2001,2,15,2001-02-15,11.27,20.27,4.36,10.84,3.33,0.52,307.02,57.84,71.73,6.98,0.12,2.67,97.11,0.02,40.62
2001,2,16,2001-02-16,10.75,16.69,5.93,11.05,2.55,0.39,328.73,45.63,75.92,5.8,0.1,4.8,97.58,2.49,80.38
2001,2,17,2001-02-17,10.01,15.53,7.08,10.62,3.19,0.48,315.05,56.42,77.05,6.98,0.12,2.84,97.54,3.2,84.62
2001,2,18,2001-02-18,9.51,13.88,6.44,9.95,3.21,0.48,302.73,56.99,80.77,7.12,0.12,3.64,97.31,4.62,80.31
2001,2,19,2001-02-19,9.25,14.17,5.08,9.49,2.53,0.38,313.91,45.17,84.0,5.86,0.09,5.39,97.68,2.05,78.56
2001,2,20,2001-02-20,9.54,17.56,3.56,9.78,4.75,0.7,275.06,83.28,86.56,10.05,0.14,3.13,97.77,0.01,66.56
2001,2,21,2001-02-21,8.04,15.4,2.37,8.26,3.86,0.56,282.96,66.69,86.72,8.27,0.12,5.82,97.5,0.0,69.81
2001,2,22,2001-02-22,9.3,20.04,1.33,9.17,4.87,0.7,266.29,85.35,89.29,10.35,0.16,3.53,97.18,0.0,60.31
2001,2,23,2001-02-23,12.04,22.27,4.32,11.94,5.2,0.75,273.2,91.5,92.51,11.18,0.19,3.82,96.33,0.0,37.25
2001,2,24,2001-02-24,12.89,22.4,4.87,12.47,4.58,0.65,288.28,80.44,85.6,9.81,0.16,4.59,95.89,0.0,33.62
2001,2,25,2001-02-25,11.21,17.78,6.29,11.31,2.93,0.41,318.3,52.57,82.68,6.63,0.11,3.55,95.72,0.06,62.0
2001,2,26,2001-02-26,9.01,13.99,4.96,9.93,3.26,0.45,319.13,57.38,91.93,7.44,0.12,2.23,96.25,0.5,69.31
2001,2,27,2001-02-27,7.99,13.52,2.82,7.72,3.46,0.48,301.95,61.47,91.03,8.07,0.13,3.87,96.08,0.65,70.69
2001,2,28,2001-02-28,8.36,14.16,3.53,8.4,3.59,0.49,291.33,63.19,89.73,7.98,0.12,6.08,95.71,0.24,61.25
2001,3,1,2001-03-01,8.3,17.03,0.23,8.73,5.3,0.72,264.04,92.74,95.96,11.44,0.15,4.79,96.58,0.0,51.69
2001,3,2,2001-03-02,12.33,20.94,6.08,12.17,5.11,0.69,298.04,90.7,93.82,11.14,0.18,7.53,96.73,0.0,37.56
2001,3,3,2001-03-03,15.42,25.06,8.27,15.12,4.38,0.59,323.87,76.82,88.42,9.42,0.18,5.15,96.34,0.68,33.62
2001,3,4,2001-03-04,17.1,25.48,9.79,17.28,5.37,0.71,316.02,96.1,98.26,11.86,0.18,3.88,96.79,0.0,43.25
2001,3,5,2001-03-05,17.94,28.65,10.27,17.39,5.12,0.67,322.35,90.18,93.9,11.02,0.19,4.89,97.02,0.0,37.88
2001,3,6,2001-03-06,18.83,28.47,10.38,18.2,5.19,0.68,323.91,94.1,99.54,11.62,0.22,1.85,97.2,0.0,43.56
2001,3,7,2001-03-07,20.08,30.13,12.81,19.09,4.86,0.63,333.66,86.8,96.76,10.74,0.2,2.21,97.02,0.0,40.62
2001,3,8,2001-03-08,18.22,26.83,12.33,18.53,4.84,0.62,335.9,86.2,94.83,10.6,0.22,4.26,96.6,0.01,49.0
2001,3,9,2001-03-09,13.33,17.13,8.3,13.55,4.9,0.62,317.62,89.33,104.12,11.44,0.22,5.45,96.79,0.07,65.56
2001,3,10,2001-03-10,13.01,20.23,5.9,14.08,4.94,0.62,311.23,89.41,106.21,11.39,0.2,2.82,97.03,0.1,67.12
2001,3,11,2001-03-11,14.19,20.41,8.51,14.48,3.52,0.44,340.92,62.9,104.72,8.3,0.16,3.35,97.16,1.47,72.19
2001,3,12,2001-03-12,16.99,26.06,8.4,17.02,5.9,0.73,308.84,107.2,108.01,13.32,0.29,4.18,97.07,0.0,60.75
2001,3,13,2001-03-13,17.92,27.13,9.96,18.44,5.59,0.69,308.71,101.25,104.17,12.47,0.27,6.54,96.84,0.0,46.81
2001,3,14,2001-03-14,13.15,22.66,5.64,14.83,6.31,0.77,279.03,112.27,113.3,14.08,0.3,2.47,97.17,0.0,53.44
2001,3,15,2001-03-15,15.65,24.92,8.87,15.87,6.0,0.73,300.35,106.8,109.16,13.32,0.26,3.27,97.07,0.0,44.81
2001,3,16,2001-03-16,15.92,24.16,10.3,16.07,2.75,0.33,337.71,49.38,96.54,6.2,0.12,2.91,96.6,0.0,55.06
2001,3,17,2001-03-17,17.44,26.7,9.84,17.91,5.29,0.63,331.12,95.16,102.39,11.83,0.22,3.42,96.28,0.0,52.62
2001,3,18,2001-03-18,16.17,22.83,10.98,17.3,5.3,0.63,334.35,95.62,101.2,11.72,0.22,3.35,96.45,0.03,52.94
2001,3,19,2001-03-19,16.33,24.54,10.36,17.47,6.14,0.73,308.05,111.21,111.79,13.85,0.27,3.97,96.94,0.0,53.88
2001,3,20,2001-03-20,17.38,27.48,9.15,17.59,6.38,0.75,303.18,115.05,116.52,14.42,0.28,2.28,97.18,0.0,41.94
2001,3,21,2001-03-21,19.79,30.2,10.76,19.8,6.35,0.74,312.3,112.66,114.47,14.05,0.29,3.64,97.02,0.0,31.69
2001,3,22,2001-03-22,22.42,32.96,13.37,22.17,5.86,0.68,337.65,103.59,112.81,12.98,0.29,3.28,96.92,0.0,27.31
2001,3,23,2001-03-23,23.74,33.16,16.77,22.48,6.42,0.73,320.88,113.16,114.12,14.0,0.32,3.51,96.94,0.0,24.75
2001,3,24,2001-03-24,23.0,33.05,15.13,22.69,6.58,0.75,317.68,115.81,117.48,14.55,0.34,5.38,96.62,0.0,20.12
2001,3,25,2001-03-25,23.37,34.76,15.07,23.09,6.17,0.7,336.02,109.8,112.01,13.6,0.3,5.66,96.1,0.0,20.5
2001,3,26,2001-03-26,17.7,25.96,11.58,19.14,6.02,0.68,321.27,107.32,109.6,13.25,0.31,4.36,96.02,0.0,53.56
2001,3,27,2001-03-27,17.2,24.93,10.3,18.44,6.76,0.76,300.37,120.54,122.27,15.29,0.34,3.3,96.5,0.0,46.19
2001,3,28,2001-03-28,16.55,25.34,9.58,17.73,5.94,0.66,313.97,105.02,117.39,13.27,0.3,3.21,96.77,0.0,57.0
2001,3,29,2001-03-29,15.26,20.73,11.03,16.67,5.24,0.58,338.48,94.34,113.84,11.95,0.26,3.39,96.57,3.1,61.44
2001,3,30,2001-03-30,12.93,17.12,9.07,13.69,3.68,0.41,324.72,64.52,120.44,8.62,0.17,6.57,96.39,0.7,55.0
2001,3,31,2001-03-31,11.33,16.65,6.99,11.8,3.92,0.43,312.76,68.59,116.77,8.87,0.14,8.16,96.43,3.36,59.62
2001,4,1,2001-04-01,14.22,20.36,9.37,15.3,4.61,0.5,322.97,81.84,119.45,10.48,0.16,7.02,96.99,0.06,61.62
2001,4,2,2001-04-02,13.3,21.39,6.2,15.47,5.73,0.62,304.13,100.08,120.67,12.62,0.2,2.96,97.23,0.0,58.38
2001,4,3,2001-04-03,13.22,21.91,6.14,15.12,7.02,0.75,285.95,124.16,124.8,15.55,0.28,2.52,97.31,0.0,56.19
2001,4,4,2001-04-04,15.94,26.93,6.05,16.87,7.04,0.75,301.16,125.29,125.96,15.74,0.3,3.0,97.2,0.0,54.56
2001,4,5,2001-04-05,18.45,27.76,10.23,20.06,6.45,0.68,325.18,116.39,120.95,14.46,0.26,2.87,97.19,0.0,45.56
2001,4,6,2001-04-06,18.65,27.26,10.89,20.4,6.95,0.73,315.63,126.05,127.77,15.91,0.3,2.22,97.24,0.0,52.75
2001,4,7,2001-04-07,20.16,29.75,12.14,20.58,6.3,0.66,330.91,113.45,127.11,14.61,0.32,3.85,96.72,0.11,45.44
2001,4,8,2001-04-08,15.95,22.08,11.51,17.13,5.49,0.57,320.74,97.66,131.02,12.84,0.27,7.36,96.74,2.6,45.75
2001,4,9,2001-04-09,13.01,18.98,8.48,14.34,6.18,0.64,311.99,110.13,130.41,14.15,0.26,7.48,97.21,0.12,56.25
2001,4,10,2001-04-10,15.06,24.76,6.45,16.52,7.16,0.73,299.87,128.82,132.45,16.34,0.3,4.58,97.13,0.01,52.12
2001,4,11,2001-04-11,15.55,25.26,8.36,16.76,5.05,0.52,319.74,90.35,129.54,11.73,0.23,5.7,96.66,0.09,45.88
2001,4,12,2001-04-12,12.2,16.71,6.74,13.25,6.11,0.62,310.57,107.52,129.62,13.75,0.25,7.51,96.63,0.12,56.06
2001,4,13,2001-04-13,13.37,20.64,7.08,14.87,5.9,0.59,311.45,104.71,129.8,13.32,0.22,4.94,96.87,0.04,58.12
2001,4,14,2001-04-14,14.87,24.21,7.12,16.21,6.76,0.68,304.19,120.02,128.22,15.04,0.3,3.74,96.66,0.02,48.31
2001,4,15,2001-04-15,13.53,21.87,6.38,15.5,6.66,0.66,302.03,119.51,134.05,15.27,0.29,4.18,97.11,0.06,55.12
2001,4,16,2001-04-16,15.13,24.27,7.98,17.25,6.54,0.66,305.45,116.77,132.99,14.92,0.28,1.88,96.89,0.0,57.0
2001,4,17,2001-04-17,18.33,28.37,8.94,19.54,7.14,0.71,309.67,126.39,132.07,15.91,0.32,4.53,96.52,0.0,33.5
